CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
02;ARAGÓN;44;44;TERUEL;3;0033;3;AGUATON;AGUATON;;;;;;;;
02;ARAGÓN;44;44;TERUEL;4;0048;4;AGUAVIVA;AGUAVIVA;;;;;;;;
07;CASTILLA LA MANCHA;13;13;CIUDAD REAL;2;0028;2;AGUDO;AGUDO;;;;;;;;
02;ARAGÓN;22;22;HUESCA;4;0041;7;AGUERO;AGUERO;;;;;;;;
08;CASTILLA Y LEÓN;40;40;SEGOVIA;4;0045;4;AGUILAFUENTE;AGUILAFUENTE;;;;;;;;
01;ANDALUCIA;14;14;CÓRDOBA;2;0023;2;Aguilar de la Frontera;AGUILAR;;;;;;;;
08;CASTILLA Y LEÓN;09;9;BURGOS;7;0079;7;AGUILAR DE BUREBA;AGUILAR DE BUREBA;;;;;;;;
08;CASTILLA Y LEÓN;34;34;PALENCIA;4;0040;4;AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;;;;;;;;
08;CASTILLA Y LEÓN;47;47;VALLADOLID;3;0035;3;AGUILAR DE CAMPOS;AGUILAR DE CAMPOS;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;NAVARRA;8;0082;8;AGUILAR DE CODÉS;AGUILAR DE CODÉS;;;;;;;;
09;CATALUÑA;08;8;BARCELONA;2;0023;2;AGUILAR DE SEGARRA;AGUILAR DE SEGARRA;;;;;;;;
02;ARAGÓN;44;44;TERUEL;5;0051;5;AGUILAR DEL ALFAMBRA;AGUILAR DEL ALFAMBRA;;;;;;;;
16;LA RIOJA;26;26;RIOJA (LA);3;0033;3;AGUILAR DEL RIO ALHAMA;AGUILAR DEL RIO ALHAMA;;;;;;;;
13;REGION DE MURCIA;30;30;MURCIA;3;0032;3;AGUILAS;AGUILAS;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;5;0055;5;AGUILON;AGUILON;;;;;;;;
05;ISLAS CANARIAS;35;35;PALMAS (LAS);2;0022;2;AGUIMES;AGUIMES;;;;;;;;
09;CATALUÑA;17;17;GIRONA;1;0010;1;AGULLANA;AGULLANA;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;4;0044;4;AGULLENT;AGULLENT;;;;;;;;
05;ISLAS CANARIAS;38;38;SANTA CRUZ DE TENERIFE;2;0027;2;AGULO;AGULO;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;6;0067;6;AHIGAL;AHIGAL;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;3;0037;3;AHIGAL DE LOS ACEITEROS;AHIGAL DE LOS ACEITEROS;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;4;0042;4;AHIGAL DE VILLARINO;AHIGAL DE VILLARINO;;;;;;;;
10;EXTREMADURA;06;6;BADAJOZ;3;0037;3;AHILLONES;AHILLONES;;;;;;;;
15;PAIS VASCO;20;20;GIPUZKOA;16;0163;16;AIA;AIA;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;NAVARRA;9;0095;9;Aibar/Oibar;AIBAR O OIBAR;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;42;0425;42;AIELO DE MALFERIT;AIELO DE MALFERIT;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;43;0431;43;AIELO DE RUGAT;AIELO DE RUGAT;;;;;;;;
09;CATALUÑA;08;8;BARCELONA;14;0142;14;AIGUAFREDA;AIGUAFREDA;;;;;;;;
09;CATALUÑA;43;43;TARRAGONA;1;0017;1;AIGUAMURCIA;AIGUAMURCIA;;;;;;;;
09;CATALUÑA;17;17;GIRONA;2;0025;2;AIGUAVIVA;AIGUAVIVA;;;;;;;;
17;COMUNIDAD VALENCIANA;03;3;ALICANTE/ALACANT;4;0041;4;AIGUES;AIGUES;;;;;;;;
